4,igloo
3,iliac
4,image
4,imbue
4,impel
4,imply
4,inane
4,inbox
3,incur
4,index
4,inept
4,inert
3,infer
3,ingot
4,inlay
4,inlet
5,inner
3,input
3,inter
3,intro
5,ionic
6,irate
3,irony
3,islet
5,issue
3,itchy
5,ivory
6,jaunt
5,jazzy
6,jelly
4,jerky
5,jetty
6,jewel
6,jiffy
3,joint
5,joist
7,joker
6,jolly
3,joust
5,judge
5,juice
4,juicy
6,jumbo
6,jumpy
5,junta
4,junto
5,juror
5,kappa
6,karma
4,kayak
5,kebab
5,khaki
7,kinky
4,kiosk
5,kitty
5,knack
3,knave
5,knead
5,kneed
5,kneel
4,knelt
4,knife
4,knock
4,knoll
4,known
5,koala
7,krill
6,label
3,labor
4,laden
5,ladle
5,lager
4,lance
3,lanky
7,lapel
3,lapse
3,large
4,larva
4,lasso
3,latch
6,later
2,lathe
4,latte
5,laugh
10,layer
4,leach
5,leafy
6,leaky
4,leant
3,leapt
4,learn
5,lease
3,leash
3,least
5,leave
7,ledge
5,leech
4,leery
4,lefty
5,legal
5,leggy
4,lemon
5,lemur
4,leper
5,level
4,lever
5,libel
4,liege
3,light
4,liken
5,lilac
4,limbo
5,limit
6,linen
3,liner
4,lingo
4,lipid
4,lithe
8,liver
4,livid
6,llama
4,loamy
3,loath
5,lobby
6,local
3,locus
4,lodge
5,lofty
3,logic
3,login
6,loopy
5,loose
7,lorry
3,loser
4,louse
3,lousy
5,lover
6,lower
5,lowly
6,loyal
3,lucid
3,lucky
4,lumen
4,lumpy
4,lunar
3,lunch
4,lunge
3,lupus
4,lurch
4,lurid
7,lusty
4,lying
4,lymph
4,lynch
3,lyric
5,macaw
4,macho
4,macro
5,madam
3,madly
4,mafia
4,magic
5,magma
4,maize
5,major
8,maker
6,mambo
6,mamma
5,mammy
4,manga
5,mange
3,mango
3,mangy
5,mania
4,manic
2,manly
3,manor
4,maple
5,march
6,marry
3,marsh
4,mason
5,masse
4,match
4,matey
4,mauve
5,maxim
6,maybe
4,mayor
4,mealy
4,meant
4,meaty
4,mecca
4,medal
4,media
4,medic
6,melee
5,melon
7,mercy
5,merge
3,merit
8,merry
4,metal
4,meter
3,metro
4,micro
5,midge
3,midst
8,might
5,milky
5,mimic
3,mince
6,miner
4,minim
3,minor
4,minty
4,minus
3,mirth
3,miser
4,missy
3,mocha
4,modal
4,model
4,modem
5,mogul
2,moist
4,molar
4,moldy
5,money
4,month
7,moody
